<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20260115,095000,1.16298,1.16312,1.16296,1.16302,3340
20260115,095500,1.16302,1.16324,1.16297,1.16321,1946
20260115,100000,1.16321,1.1634,1.16308,1.16329,2778
20260115,100500,1.16328,1.16367,1.16326,1.16345,6143
20260115,101000,1.16345,1.16351,1.16331,1.16344,4818
20260115,101500,1.16343,1.16348,1.16304,1.16313,4186
20260115,102000,1.16313,1.16329,1.16307,1.16317,3618
20260115,102500,1.16319,1.16319,1.16272,1.16277,3975
20260115,103000,1.16277,1.16293,1.16258,1.16269,5857
20260115,103500,1.16269,1.16304,1.16264,1.16297,3849
20260115,104000,1.16299,1.1632,1.16293,1.16309,3919
20260115,104500,1.16309,1.16314,1.1628,1.16286,4337
20260115,105000,1.16289,1.16295,1.16274,1.16277,3308
20260115,105500,1.16278,1.16293,1.16272,1.1628,3367
20260115,110000,1.1628,1.163,1.16278,1.16286,4411
20260115,110500,1.16286,1.16306,1.16275,1.16301,5407
20260115,111000,1.16301,1.16305,1.16266,1.16278,4815
20260115,111500,1.1628,1.16303,1.16277,1.1629,4028
20260115,112000,1.1629,1.16315,1.16276,1.16313,4007
20260115,112500,1.16313,1.16333,1.1631,1.16327,3693
20260115,113000,1.16326,1.16349,1.16321,1.16338,4800
20260115,113500,1.16338,1.16345,1.16306,1.1633,4836
20260115,114000,1.1633,1.16353,1.16317,1.16353,4222
20260115,114500,1.16352,1.16353,1.1631,1.16313,4723
20260115,115000,1.16312,1.16337,1.16312,1.16332,3394
20260115,115500,1.16332,1.16336,1.16292,1.16323,4343
20260115,120000,1.16323,1.16327,1.16304,1.16305,4661
20260115,120500,1.16305,1.16334,1.16302,1.16326,4066
20260115,121000,1.16327,1.16343,1.1632,1.16337,3769
20260115,121500,1.16337,1.1635,1.16313,1.16316,3655
20260115,122000,1.16316,1.16345,1.16313,1.16325,8649
20260115,122500,1.16322,1.1634,1.16312,1.16336,4508
20260115,123000,1.16333,1.16347,1.16308,1.16317,5099
20260115,123500,1.16318,1.16334,1.163,1.16332,4456
20260115,124000,1.16332,1.1636,1.16327,1.16344,4350
20260115,124500,1.16344,1.1637,1.16339,1.16364,3824
20260115,125000,1.16364,1.16386,1.1635,1.16385,4666
20260115,125500,1.16382,1.164,1.16381,1.16389,4606
20260115,130000,1.16389,1.16394,1.16342,1.16358,3780
20260115,130500,1.16355,1.16372,1.1634,1.16345,3557
20260115,131000,1.16347,1.16364,1.16325,1.16342,4679
20260115,131500,1.16342,1.16371,1.1634,1.16362,3452
20260115,132000,1.16364,1.16377,1.1635,1.16373,3222
20260115,132500,1.16371,1.16393,1.16365,1.16388,3847
20260115,133000,1.16388,1.16391,1.16367,1.16385,3253
20260115,133500,1.16385,1.16405,1.16375,1.16402,4440
20260115,134000,1.16402,1.1641,1.16368,1.1638,4340
20260115,134500,1.16383,1.16396,1.16373,1.16387,3387
20260115,135000,1.16387,1.16389,1.16361,1.16365,3072
20260115,135500,1.16365,1.1637,1.1634,1.16365,3601
20260115,140000,1.16365,1.16372,1.16347,1.16355,4242
20260115,140500,1.16355,1.16373,1.16348,1.16354,3616
20260115,141000,1.16354,1.16367,1.16347,1.16354,3488
20260115,141500,1.16354,1.1638,1.16344,1.16374,3158
20260115,142000,1.16374,1.16376,1.1633,1.16332,3435
20260115,142500,1.16333,1.16342,1.16327,1.16338,3215
20260115,143000,1.16338,1.16345,1.16326,1.16336,3684
20260115,143500,1.16337,1.16355,1.16334,1.1635,2740
20260115,144000,1.16351,1.16364,1.16339,1.16352,2913
20260115,144500,1.16352,1.16353,1.16323,1.16333,3549
20260115,145000,1.16333,1.1634,1.16308,1.16312,3238
20260115,145500,1.16312,1.16328,1.16306,1.16321,3701
20260115,150000,1.1632,1.16322,1.16298,1.16307,4383
20260115,150500,1.16308,1.16323,1.16303,1.16318,3431
20260115,151000,1.16316,1.16347,1.16315,1.16335,3402
20260115,151500,1.16335,1.16335,1.1631,1.16332,3971
